estacion;2.3333;1.5000;2.6667;0.5164;0.5477;0.8165
hecho;2.1667;2.1667;1.6667;0.4082;0.7528;0.8165
mundial;2.3333;2.1667;2.5000;0.5164;0.9832;0.8367
suelo;2.5000;2.0000;3.0000;0.5477;0.6325;0.0000
oficina;2.2000;2.0000;3.0000;0.4472;0.7071;0.0000
ventana;2.8000;1.6000;3.0000;0.4472;0.5477;0.0000
empresa;2.0000;2.4000;2.6000;0.0000;0.8944;0.8944
exito;2.8000;2.6000;2.8000;0.4472;0.5477;0.4472
poseer;2.6000;2.6000;2.8000;0.5477;0.5477;0.4472
ley;2.0000;2.8000;2.8000;0.0000;0.4472;0.4472
compañia;3.0000;3.0000;3.0000;0.0000;0.0000;0.0000
suceder;2.4000;2.6000;2.8000;0.5477;0.8944;0.4472
instante;2.4000;2.0000;2.8000;0.5477;0.0000;0.4472
cubrir;2.4000;3.0000;2.6000;0.5477;0.0000;0.8944
sociedad;2.6000;2.6000;2.8000;0.5477;0.5477;0.4472
reir;3.0000;3.0000;3.0000;0.0000;0.0000;0.0000
traer;2.0000;3.0000;2.8000;0.0000;0.0000;0.4472
version;2.0000;2.0000;1.8000;0.0000;0.0000;0.8367
lengua;2.2000;2.8000;2.8000;0.4472;0.4472;0.4472
uso;2.0000;2.6000;2.4000;0.7071;0.5477;0.8944
canton;2.2000;1.8000;2.2000;0.4472;0.4472;0.8367
entregar;2.4000;2.8000;2.8000;0.5477;0.4472;0.4472
comprender;2.6667;2.5000;2.5000;0.5164;0.8367;0.5477
vivo;2.5000;2.8333;2.6667;0.5477;0.4082;0.5164
territorio;2.1667;1.6667;2.8333;0.4082;0.5164;0.4082
luna;2.8333;1.6667;3.0000;0.4082;0.5164;0.0000
vuelta;2.1667;2.5000;2.5000;0.4082;0.5477;0.5477
ofrecer;2.7500;3.0000;2.8750;0.7071;0.0000;0.3536
destino;2.4000;2.0000;2.2000;0.5477;1.0000;0.8367
hoja;2.4000;1.8000;3.0000;0.5477;0.4472;0.0000
sombra;2.4000;1.8000;3.0000;0.5477;0.4472;0.0000
diverso;2.4000;2.2000;2.2000;0.5477;0.8367;0.8367
base;2.0000;2.0000;2.2000;0.0000;0.0000;0.8367
publico;2.4000;2.4000;2.8000;0.8944;0.5477;0.4472
mover;2.2000;2.8000;2.6000;0.8367;0.4472;0.5477
libre;2.8000;2.6000;2.2000;0.4472;0.5477;1.0954
batalla;1.4000;2.8000;2.8000;0.5477;0.4472;0.4472
fondo;2.0000;1.6000;2.8000;0.7071;0.5477;0.4472
acariciar;2.8000;3.0000;3.0000;0.4472;0.0000;0.0000
millon;2.0000;2.0000;2.2000;0.0000;0.0000;0.8367
fuego;2.8000;3.0000;3.0000;0.4472;0.0000;0.0000
flor;3.0000;2.2000;3.0000;0.0000;0.4472;0.0000
don;2.8000;2.2000;2.6000;0.4472;0.8367;0.5477
resultar;2.0000;2.4000;2.0000;0.0000;0.8944;1.0000
planta;3.0000;2.2000;3.0000;0.0000;0.4472;0.0000
acuerdo;2.4000;3.0000;2.6000;0.5477;0.0000;0.5477
nombrar;2.0000;2.8000;2.4000;0.0000;0.4472;0.8944
joven;2.2000;2.2000;2.6000;0.4472;0.4472;0.5477
crecer;2.8000;3.0000;2.6000;0.4472;0.0000;0.5477
premio;2.8000;2.4000;2.8000;0.4472;0.8944;0.4472
componer;2.6000;3.0000;2.6000;0.5477;0.0000;0.5477
